Umywalki -- Wymiary przyłączeniowe,PN-EN 31+A1:2014-07,{'PN-EN 31:2011'}
Armatura sanitarna -- Ogólne wymagania dotyczące elektrolitycznych powłok ochronnych Ni-Cr,PN-EN 248:2005,"{'PN-M-75015:1992', 'PN-EN 248:2004'}"
Urządzenia sanitarne -- Brodziki podprysznicowe wykonane z współwytłaczanych płyt akrylowych -- Wymagania i metody badań,PN-EN 249:2010,set()
Brodziki podprysznicowe -- Wymiary przyłączeniowe,PN-EN 251:2013-04,"{'PN-EN 251:2005/Ap1:2006', 'PN-EN 251:2005'}"
"Sieci ciepłownicze -- System preizolowanych zespolonych rur do wodnych sieci ciepłowniczych układanych bezpośrednio w gruncie -- Zespół rurowy ze stalowej rury przewodowej, izolacji cieplnej z poliuretanu i płaszcza osłonowego z polietylenu",PN-EN 253+A2:2015-12,{'PN-EN 253+A1:2013-06'}
"Sieci ciepłownicze -- System preizolowanych zespolonych rur do wodnych sieci ciepłowniczych układanych bezpośrednio w gruncie -- Zespół rurowy ze stalowej rury przewodowej, izolacji cieplnej z poliuretanu i płaszcza osłonowego z polietylenu",PN-EN 253+A2:2015-12,{'PN-EN 253+A1:2013-06'}
Urządzenia sanitarne -- Arkusze akrylowe ze środkiem sieciującym do wanien i brodzików do użytku domowego,PN-EN 263:2008,{'PN-EN 263:2005'}
Zestawy odpływowe przyborów sanitarnych -- Część 1: Wymagania,PN-EN 274-1:2004,"{'PN-EN 274:1996', 'PN-EN 274-1:2002', 'PN-EN 411:1999', 'PN-EN 329:1998'}"
Zestawy odpływowe przyborów sanitarnych -- Część 2: Metody badań,PN-EN 274-2:2004,{'PN-EN 274-2:2002'}
Zestawy odpływowe przyborów sanitarnych -- Część 3: Sterowanie jakością,PN-EN 274-3:2004,{'PN-EN 274-3:2002'}
"Systemy rur kamionkowych w sieci drenażowej i kanalizacyjnej -- Część 1: Wymagania dotyczące rur, kształtek i połączeń",PN-EN 295-1:2013-06,"{'PN-EN 295-1:1999/A3:2002', 'PN-EN 295-1:1999'}"
Systemy rur kamionkowych w sieci drenażowej i kanalizacyjnej -- Część 2: Ocena zgodności i testowanie,PN-EN 295-2:2013-07,"{'PN-EN 295-2:1999/A1:2002', 'PN-EN 295-10:2007', 'PN-EN 295-2:1999'}"
Systemy rur kamionkowych w sieci drenażowej i kanalizacyjnej -- Część 3: Metody badań,PN-EN 295-3:2012,"{'PN-EN 295-3:1999', 'PN-EN 295-3:1999/A1:2002'}"
"Systemy rur kamionkowych w sieci drenażowej i kanalizacyjnej -- Część 4: Wymagania dotyczące adapterów, połączeń i złączy elastycznych",PN-EN 295-4:2013-07,"{'PN-EN 295-4:2000/AC:2002', 'PN-EN 295-10:2007', 'PN-EN 295-4:2000'}"
Systemy rur kamionkowych w sieci drenażowej i kanalizacyjnej -- Część 5: Wymagania dotyczące rur perforowanych i połączeń,PN-EN 295-5:2013-07,"{'PN-EN 295-10:2007', 'PN-EN 295-5:2000/A1:2002', 'PN-EN 295-5:2000'}"
Systemy rur kamionkowych w sieci drenażowej i kanalizacyjnej -- Część 6: Wymagania dotyczące elementów studzienek włazowych i rewizyjnych,PN-EN 295-6:2013-07,"{'PN-EN 295-6:2001', 'PN-EN 295-10:2007'}"
Systemy rur kamionkowych w sieci drenażowej i kanalizacyjnej -- Część 7: Wymagania dotyczące rur i połączeń stosowanych do przeciskania,PN-EN 295-7:2013-07,"{'PN-EN 295-7:2001', 'PN-EN 295-10:2007'}"
"Kotły grzewcze -- Część 1: Kotły grzewcze z palnikami nadmuchowymi -- Terminologia, wymagania ogólne, badania i oznaczenie",PN-EN 303-1:2017-10,"{'PN-EN 15034:2006/AC:2008', 'PN-EN 303-1:2000/A1:2005', 'PN-EN 303-1:2000', 'PN-EN 15034:2006'}"
Kotły grzewcze -- Część 2: Kotły grzewcze z palnikami nadmuchowymi -- Wymagania specjalne dotyczące kotłów z olejowymi palnikami rozpylającymi,PN-EN 303-2:2017-09,"{'PN-EN 15034:2006/AC:2008', 'PN-EN 303-2:2000', 'PN-EN 303-2:2000/A1:2005', 'PN-EN 15034:2006'}"
Kotły grzewcze -- Część 3: Kotły grzewcze na paliwa gazowe -- Konstrukcje zespolone -- Kocioł i palnik,PN-EN 303-3:2002,set()
"Kotły grzewcze -- Część 4: Kotły grzewcze z palnikami nadmuchowymi -- Wymagania specjalne dotyczące kotłów grzewczych z olejowymi palnikami nadmuchowymi o mocy do 70 kW i maksymalnym ciśnieniu roboczym 3 bar -- Terminologia, wymagania specjalne, badania i oznakowanie",PN-EN 303-4:2002,set()
"Kotły grzewcze -- Część 5: Kotły grzewcze na paliwa stałe z ręcznym i automatycznym zasypem paliwa o mocy nominalnej do 500 kW -- Terminologia, wymagania, badania i oznakowanie",PN-EN 303-5:2012,{'PN-EN 303-5:2002'}
"Kotły grzewcze -- Część 5: Kotły grzewcze na paliwa stałe z ręcznym i automatycznym zasypem paliwa o mocy nominalnej do 500 kW -- Terminologia, wymagania, badania i oznakowanie",PN-EN 303-5:2012,{'PN-EN 303-5:2002'}
"Kotły grzewcze -- Część 5: Kotły grzewcze na paliwa stałe z ręcznym i automatycznym zasypem paliwa o mocy nominalnej do 500 kW -- Terminologia, wymagania, badania i oznakowanie",PN-EN 303-5:2012,{'PN-EN 303-5:2002'}
Kotły grzewcze -- Część 6: Kotły grzewcze z palnikami nadmuchowymi -- Wymagania specjalne dotyczące ciepłej wody użytkowej w kotłach dwufunkcyjnych z olejowymi palnikami rozpylającymi o nominalnej mocy do 70 kW,PN-EN 303-6:2002,set()
Kotły grzewcze -- Część 7: Gazowe kotły grzewcze wyposażone w palniki nadmuchowe o nominalnej mocy nieprzekraczającej 1000 kW,PN-EN 303-7:2008,{'PN-EN 303-7:2006'}
Kotły grzewcze -- Metody badań kotłów grzewczych z olejowymi palnikami rozpylającymi,PN-EN 304:2017-11,"{'PN-EN 304:1996/A2:2005', 'PN-EN 304:1996', 'PN-EN 15034:2006/AC:2008', 'PN-EN 304:1996/A1:2001', 'PN-EN 15034:2006'}"
"Drewno konstrukcyjne -- Wymiary, odchyłki dopuszczalne",PN-EN 336:2013-12,{'PN-EN 336:2004'}
Drewno konstrukcyjne -- Klasy wytrzymałości,PN-EN 338:2016-06,"{'PN-EN 338:2011/Ap1:2013-12', 'PN-EN 338:2011'}"
Szkło w budownictwie -- Szyby ochronne -- Badania i klasyfikacja odporności na ręczny atak,PN-EN 356:2000,set()
Konstrukcje drewniane -- Metody badań -- Ogólne zasady badań pod obciążeniem statycznym,PN-EN 380:1998,set()
Konstrukcje drewniane -- Metody badań -- Określanie właściwości podłoża i miejscowej wytrzymałości na docisk elementów złączy na łączniki trzpieniowe,PN-EN 383:2007,{'PN-EN 383:2007'}
Drewno konstrukcyjne -- Oznaczanie wartości charakterystycznych właściwości mechanicznych i gęstości,PN-EN 384+A1:2018-12,{'PN-EN 384:2016-10'}
Konstrukcje drewniane -- Drewno konstrukcyjne lite i klejone warstwowo -- Oznaczanie niektórych właściwości fizycznych i mechanicznych,PN-EN 408+A1:2012,{'PN-EN 408:2010'}
Konstrukcje drewniane -- Metody badań -- Określanie momentu uplastycznienia łączników trzpieniowych,PN-EN 409:2009,{'PN-EN 409:1998'}
Szkło w budownictwie -- Określanie świetlnych i słonecznych właściwości oszklenia,PN-EN 410:2011,"{'PN-EN 410:2001/Ap2:2003', 'PN-EN 410:2001/Ap1:2003', 'PN-EN 410:2001'}"
Szkło w budownictwie -- Określenie świetlnych i słonecznych właściwości oszklenia,PN-EN 410:2011,"{'PN-EN 410:2001/Ap2:2003', 'PN-EN 410:2001/Ap1:2003', 'PN-EN 410:2001'}"
"Cement murarski -- Część 1: Skład, wymagania i kryteria zgodności",PN-EN 413-1:2011,{'PN-EN 413-1:2005'}
"Cement murarski -- Część 1: Skład, wymagania i kryteria zgodności",PN-EN 413-1:2011,{'PN-EN 413-1:2005'}
Cement murarski -- Część 2: Metody badań,PN-EN 413-2:2016-11,{'PN-EN 413-2:2006'}
Grzejniki i konwektory -- Część 1: Wymagania i warunki techniczne,PN-EN 442-1:2015-02,"{'PN-EN 442-3:2005', 'PN-EN 442-1:1999/A1:2005', 'PN-EN 442-1:1999'}"
Grzejniki i konwektory -- Część 1: Wymagania i warunki techniczne,PN-EN 442-1:2015-02,"{'PN-EN 442-3:2005', 'PN-EN 442-1:1999/A1:2005', 'PN-EN 442-1:1999'}"
Grzejniki i konwektory -- Część 2: Moc cieplna i metody badań,PN-EN 442-2:2015-02,"{'PN-EN 442-2:1999', 'PN-EN 442-2:1999/A2:2005', 'PN-EN 442-2:1999/A1:2002'}"
Grzejniki i konwektory -- Część 2: Moc cieplna i metody badań,PN-EN 442-2:2015-02,"{'PN-EN 442-2:1999', 'PN-EN 442-2:1999/A2:2005', 'PN-EN 442-2:1999/A1:2002'}"
Zaczyn iniekcyjny do kanałów kablowych -- Metody badań,PN-EN 445:2009,{'PN-EN 445:2007'}
Zaczyn iniekcyjny do kanałów kablowych -- Metody iniekcji,PN-EN 446:2009,{'PN-EN 446:2007'}
Zaczyn iniekcyjny do kanałów kablowych -- Wymagania podstawowe,PN-EN 447:2009,{'PN-EN 447:2007'}
"Sieci ciepłownicze -- System preizolowanych zespolonych rur do wodnych sieci ciepłowniczych układanych bezpośrednio w gruncie -- Kształtki - zespoły ze stalowej rury przewodowej, izolacji cieplnej z poliuretanu i płaszcza osłonowego z polietylenu",PN-EN 448:2015-12,{'PN-EN 448:2009'}
"Sieci ciepłownicze -- System preizolowanych zespolonych rur do wodnych sieci ciepłowniczych układanych bezpośrednio w gruncie -- Kształtki - zespoły ze stalowej rury przewodowej, izolacji cieplnej z poliuretanu i płaszcza osłonowego z polietylenu",PN-EN 448:2015-12,{'PN-EN 448:2009'}
"Popiół lotny do betonu -- Część 1: Definicje, specyfikacje i kryteria zgodności",PN-EN 450-1:2012,{'PN-EN 450-1+A1:2009'}
"Popiół lotny do betonu -- Część 1: Definicje, specyfikacje i kryteria zgodności",PN-EN 450-1:2012,{'PN-EN 450-1+A1:2009'}
Popiół lotny do betonu -- Część 2: Ocena zgodności,PN-EN 450-2:2006,{'PN-EN 450-2:2005'}
Metoda badania popiołu lotnego -- Część 1: Oznaczanie zawartości wolnego tlenku wapnia,PN-EN 451-1:2017-06,{'PN-EN 451-1:2004'}
Metoda badania popiołu lotnego -- Część 2: Oznaczanie miałkości przez przesiewanie na mokro,PN-EN 451-2:2017-06,{'PN-EN 451-2:1998'}
"Wapno budowlane -- Część 1: Definicje, wymagania i kryteria zgodności",PN-EN 459-1:2015-06,{'PN-EN 459-1:2012'}
"Wapno budowlane -- Część 1: Definicje, wymagania i kryteria zgodności",PN-EN 459-1:2015-06,{'PN-EN 459-1:2012'}
Wapno budowlane -- Część 2: Metody badań,PN-EN 459-2:2010,{'PN-EN 459-2:2003'}
Wapno budowlane -- Część 2: Metody badań,PN-EN 459-2:2010,{'PN-EN 459-2:2003'}
Wapno budowlane -- Część 2: Metody badań,PN-EN 459-2:2010,{'PN-EN 459-2:2003'}
Wapno budowlane -- Część 3: Ocena zgodności,PN-EN 459-3:2015-06,{'PN-EN 459-3:2011'}
Wapno budowlane -- Część 3: Ocena zgodności,PN-EN 459-3:2015-06,{'PN-EN 459-3:2011'}
Wymagania ogólne dotyczące elementów stosowanych w systemach kanalizacji deszczowej i sanitarnej,PN-EN 476:2012,{'PN-EN 476:2011'}
"Domieszki do betonu, zaprawy i zaczynu -- Metody badań -- Część 1: Beton wzorcowy i zaprawa wzorcowa do badania",PN-EN 480-1:2014-12,{'PN-EN 480-1+A1:2012'}
"Domieszki do betonu, zaprawy i zaczynu -- Metody badań -- Część 2: Oznaczanie czasu wiązania",PN-EN 480-2:2008,{'PN-EN 480-2:2006'}
"Domieszki do betonu, zaprawy i zaczynu -- Metody badań -- Część 4: Oznaczanie ilości cieczy wydzielającej się samoczynnie z mieszanki betonowej",PN-EN 480-4:2008,{'PN-EN 480-4:2006'}
"Domieszki do betonu, zaprawy i zaczynu -- Metody badań -- Część 5: Oznaczanie absorpcji kapilarnej",PN-EN 480-5:2008,{'PN-EN 480-5:2006'}
"Domieszki do betonu, zaprawy i zaczynu -- Metody badań -- Część 6: Analiza w podczerwieni",PN-EN 480-6:2008,{'PN-EN 480-6:2006'}
"Domieszki do betonu, zaprawy i zaczynu -- Metody badań -- Część 8: Oznaczanie umownej zawartości suchej substancji",PN-EN 480-8:2012,{'PN-EN 480-8:1999'}
"Domieszki do betonu, zaprawy i zaczynu -- Metody badań -- Część 10: Oznaczanie zawartości chlorków rozpuszczalnych w wodzie",PN-EN 480-10:2011,{'PN-EN 480-10:2009'}
"Domieszki do betonu, zaprawy i zaczynu -- Metody badań -- Część 11: Oznaczanie charakterystyki porów powietrznych w stwardniałym betonie",PN-EN 480-11:2008,{'PN-EN 480-11:2006'}
"Domieszki do betonu, zaprawy i zaczynu -- Metody badań -- Część 12: Oznaczanie zawartości alkaliów w domieszkach",PN-EN 480-12:2008,{'PN-EN 480-12:2006'}
"Domieszki do betonu, zaprawy i zaczynu -- Metody badań -- Część 13: Wzorcowa zaprawa murarska przeznaczona do badania domieszek do zapraw",PN-EN 480-13:2015-08,{'PN-EN 480-13+A1:2011'}
"Domieszki do betonu, zaprawy i zaczynu -- Metody badań -- Część 14: Oznaczanie podatności korozyjnej stali zbrojeniowej w betonie za pomocą potencjostatycznego badania elektrochemicznego",PN-EN 480-14:2008,{'PN-EN 480-14:2006'}
"Domieszki do betonu, zaprawy i zaczynu -- Metody badań -- Część 15: Beton wzorcowy i metoda badania domieszek modyfikujących lepkość",PN-EN 480-15:2013-07,set()
"Sieci ciepłownicze -- System preizolowanych zespolonych rur do wodnych sieci ciepłowniczych układanych bezpośrednio w gruncie -- Zespół armatury do stalowych rur przewodowych, z izolacją cieplną z poliuretanu i płaszczem osłonowym z polietylenu",PN-EN 488:2015-12,{'PN-EN 488+A1:2014-03'}
"Sieci ciepłownicze -- System preizolowanych zespolonych rur do wodnych sieci ciepłowniczych układanych bezpośrednio w gruncie -- Zespół armatury do stalowych rur przewodowych, z izolacją cieplną z poliuretanu i płaszczem osłonowym z polietylenu",PN-EN 488:2015-12,{'PN-EN 488+A1:2014-03'}
Sieci ciepłownicze -- System preizolowanych zespolonych rur do wodnych sieci ciepłowniczych układanych bezpośrednio w gruncie -- Zespół złącza stalowych rur przewodowych z izolacją cieplną z poliuretanu i płaszczem osłonowym z polietylenu,PN-EN 489:2009,{'PN-EN 489:2005'}
Dachówki i kształtki dachowe cementowe do pokryć dachowych i okładzin ściennych -- Charakterystyka wyrobu,PN-EN 490+A1:2017-02,{'PN-EN 490:2012'}
Dachówki i kształtki dachowe cementowe do pokryć dachowych i okładzin ściennych -- Metody badań,PN-EN 491:2012,{'PN-EN 491:2006'}
Płytki włóknisto-cementowe i elementy wyposażenia -- Właściwości wyrobu i metody badań,PN-EN 492+A2:2018-06,{'PN-EN 492+A1:2016-08'}
Profilowane płyty włóknisto-cementowe i elementy wyposażenia -- Właściwości wyrobu i metody badań,PN-EN 494+A1:2015-11,{'PN-EN 494:2013-04'}
Profilowane płyty włóknisto-cementowe i elementy wyposażenia -- Właściwości wyrobu i metody badań,PN-EN 494+A1:2015-11,{'PN-EN 494:2013-04'}
Elastyczne wyroby wodochronne -- Określanie odporności na zginanie w niskiej temperaturze -- Część 5: Wyroby z tworzyw sztucznych i kauczuku do izolacji wodochronnej dachów,PN-EN 495-5:2013-07,{'PN-EN 495-5:2002'}
Wyroby do pokryć dachowych z metalu -- Charakterystyka wyrobów z cynku do pokryć dachowych układanych na ciągłym podłożu,PN-EN 501:1999,set()
Wyroby do pokryć dachowych z metalu -- Charakterystyka wyrobów z blachy ze stali odpornej na korozję układanych na ciągłym podłożu,PN-EN 502:2013-07,{'PN-EN 502:2002'}
Wyroby do pokryć dachowych z metalu -- Charakterystyka wyrobów z blachy miedzianej układanych na ciągłym podłożu,PN-EN 504:2002,set()
Wyroby do pokryć dachowych z metalu -- Charakterystyka wyrobów z blachy stalowej układanych na ciągłym podłożu,PN-EN 505:2013-07,{'PN-EN 505:2002'}
Wyroby do pokryć dachowych z metalu -- Charakterystyka wyrobów samonośnych z blachy miedzianej lub cynkowej,PN-EN 506:2010,{'PN-EN 506:2008'}
Wyroby do pokryć dachowych z metalu -- Charakterystyka wyrobów z blachy aluminiowej układanych na ciągłym podłożu,PN-EN 507:2002,set()
"Wyroby do pokryć dachowych i okładzin z metalu -- Charakterystyka wyrobów samonośnych z blachy stalowej, aluminiowej lub ze stali odpornej na korozję -- Część 1: Stal",PN-EN 508-1:2014-08,{'PN-EN 508-1:2010'}
"Wyroby do pokryć dachowych z metalu -- Charakterystyka wyrobów samonośnych z blachy stalowej, aluminiowej lub ze stali odpornej na korozję -- Część 2: Aluminium",PN-EN 508-2:2010,{'PN-EN 508-2:2008'}
"Wyroby do pokryć dachowych z metalu -- Charakterystyka wyrobów samonośnych z blachy stalowej, aluminiowej lub ze stali odpornej na korozję -- Część 3: Stal odporna na korozję",PN-EN 508-3:2010,{'PN-EN 508-3:2008'}
Wyroby włókno-cementowe -- Rury ciśnieniowe i złącza,PN-EN 512:2000,set()
"Prefabrykowane akcesoria dachowe -- Urządzenia do chodzenia po dachu -- Pomosty, stopnie szerokie i stopnie wąskie",PN-EN 516:2007,{'PN-EN 516:2006'}
Prefabrykowane akcesoria dachowe -- Dachowe haki zabezpieczające,PN-EN 517:2007,{'PN-EN 517:2006'}
